Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median.params
[median - label_flipping_attack] Iteration 1609. Test_acc 0.8333
[median - label_flipping_attack] Iteration 1619. Test_acc 0.7929
[median - label_flipping_attack] Iteration 1629. Test_acc 0.7756
[median - label_flipping_attack] Iteration 1639. Test_acc 0.7367
[median - label_flipping_attack] Iteration 1649. Test_acc 0.8247
[median - label_flipping_attack] Iteration 1659. Test_acc 0.7505
[median - label_flipping_attack] Iteration 1669. Test_acc 0.7692
[median - label_flipping_attack] Iteration 1679. Test_acc 0.7814
[median - label_flipping_attack] Iteration 1689. Test_acc 0.8189
[median - label_flipping_attack] Iteration 1699. Test_acc 0.7766
[median - label_flipping_attack] Iteration 1709. Test_acc 0.8163
[median - label_flipping_attack] Iteration 1719. Test_acc 0.8369
[median - label_flipping_attack] Iteration 1729. Test_acc 0.8374
[median - label_flipping_attack] Iteration 1739. Test_acc 0.8282
[median - label_flipping_attack] Iteration 1749. Test_acc 0.7980
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_001750.params
[median - label_flipping_attack] Iteration 1759. Test_acc 0.7970
[median - label_flipping_attack] Iteration 1769. Test_acc 0.8023
[median - label_flipping_attack] Iteration 1779. Test_acc 0.8151
[median - label_flipping_attack] Iteration 1789. Test_acc 0.8380
[median - label_flipping_attack] Iteration 1799. Test_acc 0.8028
[median - label_flipping_attack] Iteration 1809. Test_acc 0.7764
[median - label_flipping_attack] Iteration 1819. Test_acc 0.8337
[median - label_flipping_attack] Iteration 1829. Test_acc 0.8278
[median - label_flipping_attack] Iteration 1839. Test_acc 0.7752
[median - label_flipping_attack] Iteration 1849. Test_acc 0.8255
[median - label_flipping_attack] Iteration 1859. Test_acc 0.7557
[median - label_flipping_attack] Iteration 1869. Test_acc 0.7919
[median - label_flipping_attack] Iteration 1879. Test_acc 0.8319
[median - label_flipping_attack] Iteration 1889. Test_acc 0.8111
[median - label_flipping_attack] Iteration 1899. Test_acc 0.8301
[median - label_flipping_attack] Iteration 1909. Test_acc 0.8183
[median - label_flipping_attack] Iteration 1919. Test_acc 0.7915
[median - label_flipping_attack] Iteration 1929. Test_acc 0.7678
[median - label_flipping_attack] Iteration 1939. Test_acc 0.8278
[median - label_flipping_attack] Iteration 1949. Test_acc 0.7940
[median - label_flipping_attack] Iteration 1959. Test_acc 0.7264
[median - label_flipping_attack] Iteration 1969. Test_acc 0.6907
[median - label_flipping_attack] Iteration 1979. Test_acc 0.8151
[median - label_flipping_attack] Iteration 1989. Test_acc 0.8076
[median - label_flipping_attack] Iteration 1999. Test_acc 0.7570
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_002000.params
[median - label_flipping_attack] Iteration 2009. Test_acc 0.8181
[median - label_flipping_attack] Iteration 2019. Test_acc 0.7832
[median - label_flipping_attack] Iteration 2029. Test_acc 0.7632
[median - label_flipping_attack] Iteration 2039. Test_acc 0.8338
[median - label_flipping_attack] Iteration 2049. Test_acc 0.8208
[median - label_flipping_attack] Iteration 2059. Test_acc 0.8375
[median - label_flipping_attack] Iteration 2069. Test_acc 0.8080
[median - label_flipping_attack] Iteration 2079. Test_acc 0.8366
[median - label_flipping_attack] Iteration 2089. Test_acc 0.8019
[median - label_flipping_attack] Iteration 2099. Test_acc 0.8010
[median - label_flipping_attack] Iteration 2109. Test_acc 0.8162
[median - label_flipping_attack] Iteration 2119. Test_acc 0.8331
[median - label_flipping_attack] Iteration 2129. Test_acc 0.7673
[median - label_flipping_attack] Iteration 2139. Test_acc 0.8211
[median - label_flipping_attack] Iteration 2149. Test_acc 0.8131
[median - label_flipping_attack] Iteration 2159. Test_acc 0.8178
[median - label_flipping_attack] Iteration 2169. Test_acc 0.8307
[median - label_flipping_attack] Iteration 2179. Test_acc 0.7816
[median - label_flipping_attack] Iteration 2189. Test_acc 0.7865
[median - label_flipping_attack] Iteration 2199. Test_acc 0.8396
[median - label_flipping_attack] Iteration 2209. Test_acc 0.8252
[median - label_flipping_attack] Iteration 2219. Test_acc 0.7785
[median - label_flipping_attack] Iteration 2229. Test_acc 0.7867
[median - label_flipping_attack] Iteration 2239. Test_acc 0.7905
[median - label_flipping_attack] Iteration 2249. Test_acc 0.8179
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__median__iter_002250.params
[median - label_flipping_attack] Iteration 2259. Test_acc 0.8377
[median - label_flipping_attack] Iteration 2269. Test_acc 0.8083
[median - label_flipping_attack] Iteration 2279. Test_acc 0.8331
[median - label_flipping_attack] Iteration 2289. Test_acc 0.8353
[median - label_flipping_attack] Iteration 2299. Test_acc 0.3507
[median - label_flipping_attack] Iteration 2309. Test_acc 0.8141
[median - label_flipping_attack] Iteration 2319. Test_acc 0.8090
[median - label_flipping_attack] Iteration 2329. Test_acc 0.7890
[median - label_flipping_attack] Iteration 2339. Test_acc 0.8282
[median - label_flipping_attack] Iteration 2349. Test_acc 0.8082
[median - label_flipping_attack] Iteration 2359. Test_acc 0.8023
[median - label_flipping_attack] Iteration 2369. Test_acc 0.8063
[median - label_flipping_attack] Iteration 2379. Test_acc 0.7998
[median - label_flipping_attack] Iteration 2389. Test_acc 0.8145
