Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean.params
[trimmed_mean - label_flipping_attack] Iteration 1349. Test_acc 0.8084
[trimmed_mean - label_flipping_attack] Iteration 1359. Test_acc 0.8335
[trimmed_mean - label_flipping_attack] Iteration 1369. Test_acc 0.7949
[trimmed_mean - label_flipping_attack] Iteration 1379. Test_acc 0.8053
[trimmed_mean - label_flipping_attack] Iteration 1389. Test_acc 0.8240
[trimmed_mean - label_flipping_attack] Iteration 1399. Test_acc 0.7940
[trimmed_mean - label_flipping_attack] Iteration 1409. Test_acc 0.8344
[trimmed_mean - label_flipping_attack] Iteration 1419. Test_acc 0.8138
[trimmed_mean - label_flipping_attack] Iteration 1429. Test_acc 0.8025
[trimmed_mean - label_flipping_attack] Iteration 1439. Test_acc 0.7800
[trimmed_mean - label_flipping_attack] Iteration 1449. Test_acc 0.8401
[trimmed_mean - label_flipping_attack] Iteration 1459. Test_acc 0.8196
[trimmed_mean - label_flipping_attack] Iteration 1469. Test_acc 0.8392
[trimmed_mean - label_flipping_attack] Iteration 1479. Test_acc 0.8098
[trimmed_mean - label_flipping_attack] Iteration 1489. Test_acc 0.7639
[trimmed_mean - label_flipping_attack] Iteration 1499. Test_acc 0.8404
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_001500.params
[trimmed_mean - label_flipping_attack] Iteration 1509. Test_acc 0.8073
[trimmed_mean - label_flipping_attack] Iteration 1519. Test_acc 0.8297
[trimmed_mean - label_flipping_attack] Iteration 1529. Test_acc 0.8468
[trimmed_mean - label_flipping_attack] Iteration 1539. Test_acc 0.8432
[trimmed_mean - label_flipping_attack] Iteration 1549. Test_acc 0.8137
[trimmed_mean - label_flipping_attack] Iteration 1559. Test_acc 0.8151
[trimmed_mean - label_flipping_attack] Iteration 1569. Test_acc 0.7870
[trimmed_mean - label_flipping_attack] Iteration 1579. Test_acc 0.8199
[trimmed_mean - label_flipping_attack] Iteration 1589. Test_acc 0.8375
[trimmed_mean - label_flipping_attack] Iteration 1599. Test_acc 0.8177
[trimmed_mean - label_flipping_attack] Iteration 1609. Test_acc 0.8281
[trimmed_mean - label_flipping_attack] Iteration 1619. Test_acc 0.7655
[trimmed_mean - label_flipping_attack] Iteration 1629. Test_acc 0.7989
[trimmed_mean - label_flipping_attack] Iteration 1639. Test_acc 0.8123
[trimmed_mean - label_flipping_attack] Iteration 1649. Test_acc 0.7770
[trimmed_mean - label_flipping_attack] Iteration 1659. Test_acc 0.8181
[trimmed_mean - label_flipping_attack] Iteration 1669. Test_acc 0.8111
[trimmed_mean - label_flipping_attack] Iteration 1679. Test_acc 0.7961
[trimmed_mean - label_flipping_attack] Iteration 1689. Test_acc 0.8452
[trimmed_mean - label_flipping_attack] Iteration 1699. Test_acc 0.6833
[trimmed_mean - label_flipping_attack] Iteration 1709. Test_acc 0.8229
[trimmed_mean - label_flipping_attack] Iteration 1719. Test_acc 0.8378
[trimmed_mean - label_flipping_attack] Iteration 1729. Test_acc 0.8252
[trimmed_mean - label_flipping_attack] Iteration 1739. Test_acc 0.7339
[trimmed_mean - label_flipping_attack] Iteration 1749. Test_acc 0.8229
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__trimmed_mean__iter_001750.params
[trimmed_mean - label_flipping_attack] Iteration 1759. Test_acc 0.8222
[trimmed_mean - label_flipping_attack] Iteration 1769. Test_acc 0.8491
[trimmed_mean - label_flipping_attack] Iteration 1779. Test_acc 0.7825
[trimmed_mean - label_flipping_attack] Iteration 1789. Test_acc 0.8362
[trimmed_mean - label_flipping_attack] Iteration 1799. Test_acc 0.7249
[trimmed_mean - label_flipping_attack] Iteration 1809. Test_acc 0.8117
[trimmed_mean - label_flipping_attack] Iteration 1819. Test_acc 0.8240
[trimmed_mean - label_flipping_attack] Iteration 1829. Test_acc 0.8554
[trimmed_mean - label_flipping_attack] Iteration 1839. Test_acc 0.8365
[trimmed_mean - label_flipping_attack] Iteration 1849. Test_acc 0.8184
[trimmed_mean - label_flipping_attack] Iteration 1859. Test_acc 0.7922
[trimmed_mean - label_flipping_attack] Iteration 1869. Test_acc 0.8078
[trimmed_mean - label_flipping_attack] Iteration 1879. Test_acc 0.8205
[trimmed_mean - label_flipping_attack] Iteration 1889. Test_acc 0.8317
[trimmed_mean - label_flipping_attack] Iteration 1899. Test_acc 0.8484
[trimmed_mean - label_flipping_attack] Iteration 1909. Test_acc 0.8440
[trimmed_mean - label_flipping_attack] Iteration 1919. Test_acc 0.8340
[trimmed_mean - label_flipping_attack] Iteration 1929. Test_acc 0.8075
[trimmed_mean - label_flipping_attack] Iteration 1939. Test_acc 0.8159
