Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust.params
[fltrust - trim_attack] Iteration 1639. Test_acc 0.8799
[fltrust - trim_attack] Iteration 1649. Test_acc 0.8805
[fltrust - trim_attack] Iteration 1659. Test_acc 0.8741
[fltrust - trim_attack] Iteration 1669. Test_acc 0.8751
[fltrust - trim_attack] Iteration 1679. Test_acc 0.8706
[fltrust - trim_attack] Iteration 1689. Test_acc 0.8757
[fltrust - trim_attack] Iteration 1699. Test_acc 0.8754
[fltrust - trim_attack] Iteration 1709. Test_acc 0.8770
[fltrust - trim_attack] Iteration 1719. Test_acc 0.8772
[fltrust - trim_attack] Iteration 1729. Test_acc 0.8786
[fltrust - trim_attack] Iteration 1739. Test_acc 0.8753
[fltrust - trim_attack] Iteration 1749. Test_acc 0.8838
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_001750.params
Loaded checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_001750.params
Resume status: start_iter=1750, niter=2500, remaining_iterations=750
[fltrust - trim_attack] Iteration 1759. Test_acc 0.8752
[fltrust - trim_attack] Iteration 1769. Test_acc 0.8791
[fltrust - trim_attack] Iteration 1779. Test_acc 0.8801
[fltrust - trim_attack] Iteration 1789. Test_acc 0.8821
[fltrust - trim_attack] Iteration 1799. Test_acc 0.8840
[fltrust - trim_attack] Iteration 1809. Test_acc 0.8829
[fltrust - trim_attack] Iteration 1819. Test_acc 0.8818
[fltrust - trim_attack] Iteration 1829. Test_acc 0.8735
[fltrust - trim_attack] Iteration 1839. Test_acc 0.8819
[fltrust - trim_attack] Iteration 1849. Test_acc 0.8809
[fltrust - trim_attack] Iteration 1859. Test_acc 0.8811
[fltrust - trim_attack] Iteration 1869. Test_acc 0.8815
[fltrust - trim_attack] Iteration 1879. Test_acc 0.8799
[fltrust - trim_attack] Iteration 1889. Test_acc 0.8775
[fltrust - trim_attack] Iteration 1899. Test_acc 0.8879
[fltrust - trim_attack] Iteration 1909. Test_acc 0.8886
[fltrust - trim_attack] Iteration 1919. Test_acc 0.8776
[fltrust - trim_attack] Iteration 1929. Test_acc 0.8863
[fltrust - trim_attack] Iteration 1939. Test_acc 0.8838
[fltrust - trim_attack] Iteration 1949. Test_acc 0.8833
[fltrust - trim_attack] Iteration 1959. Test_acc 0.8805
[fltrust - trim_attack] Iteration 1969. Test_acc 0.8874
[fltrust - trim_attack] Iteration 1979. Test_acc 0.8889
[fltrust - trim_attack] Iteration 1989. Test_acc 0.8844
[fltrust - trim_attack] Iteration 1999. Test_acc 0.8889
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_002000.params
[fltrust - trim_attack] Iteration 2009. Test_acc 0.8863
[fltrust - trim_attack] Iteration 2019. Test_acc 0.8644
[fltrust - trim_attack] Iteration 2029. Test_acc 0.8880
[fltrust - trim_attack] Iteration 2039. Test_acc 0.8887
[fltrust - trim_attack] Iteration 2049. Test_acc 0.8889
[fltrust - trim_attack] Iteration 2059. Test_acc 0.8902
[fltrust - trim_attack] Iteration 2069. Test_acc 0.8875
[fltrust - trim_attack] Iteration 2079. Test_acc 0.8901
[fltrust - trim_attack] Iteration 2089. Test_acc 0.8874
[fltrust - trim_attack] Iteration 2099. Test_acc 0.8908
[fltrust - trim_attack] Iteration 2109. Test_acc 0.8910
[fltrust - trim_attack] Iteration 2119. Test_acc 0.8875
[fltrust - trim_attack] Iteration 2129. Test_acc 0.8891
[fltrust - trim_attack] Iteration 2139. Test_acc 0.8893
[fltrust - trim_attack] Iteration 2149. Test_acc 0.8826
[fltrust - trim_attack] Iteration 2159. Test_acc 0.8892
[fltrust - trim_attack] Iteration 2169. Test_acc 0.8868
[fltrust - trim_attack] Iteration 2179. Test_acc 0.8863
[fltrust - trim_attack] Iteration 2189. Test_acc 0.8883
[fltrust - trim_attack] Iteration 2199. Test_acc 0.8898
[fltrust - trim_attack] Iteration 2209. Test_acc 0.8915
[fltrust - trim_attack] Iteration 2219. Test_acc 0.8887
[fltrust - trim_attack] Iteration 2229. Test_acc 0.8915
[fltrust - trim_attack] Iteration 2239. Test_acc 0.8870
[fltrust - trim_attack] Iteration 2249. Test_acc 0.8904
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__trim_attack__fltrust__iter_002250.params
[fltrust - trim_attack] Iteration 2259. Test_acc 0.8906
