Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum.params
[krum - label_flipping_attack] Iteration 1869. Test_acc 0.8222
[krum - label_flipping_attack] Iteration 1879. Test_acc 0.8274
[krum - label_flipping_attack] Iteration 1889. Test_acc 0.8274
[krum - label_flipping_attack] Iteration 1899. Test_acc 0.8095
[krum - label_flipping_attack] Iteration 1909. Test_acc 0.8225
[krum - label_flipping_attack] Iteration 1919. Test_acc 0.8313
[krum - label_flipping_attack] Iteration 1929. Test_acc 0.8234
[krum - label_flipping_attack] Iteration 1939. Test_acc 0.8263
[krum - label_flipping_attack] Iteration 1949. Test_acc 0.8104
[krum - label_flipping_attack] Iteration 1959. Test_acc 0.8303
[krum - label_flipping_attack] Iteration 1969. Test_acc 0.8304
[krum - label_flipping_attack] Iteration 1979. Test_acc 0.8370
[krum - label_flipping_attack] Iteration 1989. Test_acc 0.8338
[krum - label_flipping_attack] Iteration 1999. Test_acc 0.8203
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_002000.params
[krum - label_flipping_attack] Iteration 2009. Test_acc 0.8245
[krum - label_flipping_attack] Iteration 2019. Test_acc 0.8192
[krum - label_flipping_attack] Iteration 2029. Test_acc 0.8256
[krum - label_flipping_attack] Iteration 2039. Test_acc 0.8237
[krum - label_flipping_attack] Iteration 2049. Test_acc 0.8256
[krum - label_flipping_attack] Iteration 2059. Test_acc 0.8280
[krum - label_flipping_attack] Iteration 2069. Test_acc 0.8367
[krum - label_flipping_attack] Iteration 2079. Test_acc 0.8308
[krum - label_flipping_attack] Iteration 2089. Test_acc 0.8255
[krum - label_flipping_attack] Iteration 2099. Test_acc 0.8328
[krum - label_flipping_attack] Iteration 2109. Test_acc 0.8241
[krum - label_flipping_attack] Iteration 2119. Test_acc 0.8360
[krum - label_flipping_attack] Iteration 2129. Test_acc 0.8314
[krum - label_flipping_attack] Iteration 2139. Test_acc 0.8318
[krum - label_flipping_attack] Iteration 2149. Test_acc 0.8368
[krum - label_flipping_attack] Iteration 2159. Test_acc 0.8368
[krum - label_flipping_attack] Iteration 2169. Test_acc 0.8149
[krum - label_flipping_attack] Iteration 2179. Test_acc 0.8324
[krum - label_flipping_attack] Iteration 2189. Test_acc 0.8224
[krum - label_flipping_attack] Iteration 2199. Test_acc 0.8107
[krum - label_flipping_attack] Iteration 2209. Test_acc 0.8355
[krum - label_flipping_attack] Iteration 2219. Test_acc 0.8349
[krum - label_flipping_attack] Iteration 2229. Test_acc 0.8283
[krum - label_flipping_attack] Iteration 2239. Test_acc 0.8286
[krum - label_flipping_attack] Iteration 2249. Test_acc 0.8339
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__label_flipping_attack__krum__iter_002250.params
[krum - label_flipping_attack] Iteration 2259. Test_acc 0.8333
[krum - label_flipping_attack] Iteration 2269. Test_acc 0.8288
[krum - label_flipping_attack] Iteration 2279. Test_acc 0.8099
[krum - label_flipping_attack] Iteration 2289. Test_acc 0.8370
[krum - label_flipping_attack] Iteration 2299. Test_acc 0.8323
[krum - label_flipping_attack] Iteration 2309. Test_acc 0.8361
[krum - label_flipping_attack] Iteration 2319. Test_acc 0.8385
[krum - label_flipping_attack] Iteration 2329. Test_acc 0.8235
[krum - label_flipping_attack] Iteration 2339. Test_acc 0.8372
[krum - label_flipping_attack] Iteration 2349. Test_acc 0.8435
