Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__no__median.params
[median - no] Iteration 1929. Test_acc 0.8226
[median - no] Iteration 1939. Test_acc 0.8546
[median - no] Iteration 1949. Test_acc 0.8096
[median - no] Iteration 1959. Test_acc 0.8451
[median - no] Iteration 1969. Test_acc 0.8527
[median - no] Iteration 1979. Test_acc 0.8409
[median - no] Iteration 1989. Test_acc 0.8219
[median - no] Iteration 1999. Test_acc 0.7801
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_002000.params
[median - no] Iteration 2009. Test_acc 0.8386
[median - no] Iteration 2019. Test_acc 0.7759
[median - no] Iteration 2029. Test_acc 0.8349
[median - no] Iteration 2039. Test_acc 0.8246
[median - no] Iteration 2049. Test_acc 0.8488
[median - no] Iteration 2059. Test_acc 0.8476
[median - no] Iteration 2069. Test_acc 0.8097
[median - no] Iteration 2079. Test_acc 0.8512
[median - no] Iteration 2089. Test_acc 0.8496
[median - no] Iteration 2099. Test_acc 0.8533
[median - no] Iteration 2109. Test_acc 0.8540
[median - no] Iteration 2119. Test_acc 0.8447
[median - no] Iteration 2129. Test_acc 0.8120
[median - no] Iteration 2139. Test_acc 0.8026
[median - no] Iteration 2149. Test_acc 0.8451
[median - no] Iteration 2159. Test_acc 0.8133
[median - no] Iteration 2169. Test_acc 0.8430
[median - no] Iteration 2179. Test_acc 0.8574
[median - no] Iteration 2189. Test_acc 0.8354
[median - no] Iteration 2199. Test_acc 0.8196
[median - no] Iteration 2209. Test_acc 0.8194
[median - no] Iteration 2219. Test_acc 0.8129
[median - no] Iteration 2229. Test_acc 0.8476
[median - no] Iteration 2239. Test_acc 0.8208
[median - no] Iteration 2249. Test_acc 0.8237
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_002250.params
[median - no] Iteration 2259. Test_acc 0.8442
[median - no] Iteration 2269. Test_acc 0.8362
[median - no] Iteration 2279. Test_acc 0.8093
[median - no] Iteration 2289. Test_acc 0.8448
[median - no] Iteration 2299. Test_acc 0.8279
[median - no] Iteration 2309. Test_acc 0.8282
[median - no] Iteration 2319. Test_acc 0.8534
[median - no] Iteration 2329. Test_acc 0.8587
[median - no] Iteration 2339. Test_acc 0.8581
[median - no] Iteration 2349. Test_acc 0.8256
[median - no] Iteration 2359. Test_acc 0.8158
[median - no] Iteration 2369. Test_acc 0.8557
[median - no] Iteration 2379. Test_acc 0.8610
[median - no] Iteration 2389. Test_acc 0.8403
[median - no] Iteration 2399. Test_acc 0.8613
[median - no] Iteration 2409. Test_acc 0.8140
[median - no] Iteration 2419. Test_acc 0.8620
[median - no] Iteration 2429. Test_acc 0.8613
[median - no] Iteration 2439. Test_acc 0.8219
[median - no] Iteration 2449. Test_acc 0.8472
[median - no] Iteration 2459. Test_acc 0.8126
[median - no] Iteration 2469. Test_acc 0.8193
[median - no] Iteration 2479. Test_acc 0.8118
[median - no] Iteration 2489. Test_acc 0.8336
[median - no] Iteration 2499. Test_acc 0.8578
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_002500.params
Checkpoint already complete (iter 2500/2500): checkpoints/flat__pair__every_10pct_of_2500__no__median__iter_002500.params
Skipping run: final checkpoint exists; not loading datasets/models.
