Checkpoint not found, starting fresh: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median.params
Scaling attack: train with labels 7 -> 1 on Byzantine clients; attack success rate = fraction of test images with true label 7 that the global model predicts as 1 (FLTrust).
[median - scaling_attack] Iteration 749. Test_acc 0.6936  Attack_succ_rate 0.0010 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_000750.params
[median - scaling_attack] Iteration 759. Test_acc 0.6738  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 769. Test_acc 0.6658  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 779. Test_acc 0.6349  Attack_succ_rate 0.0160 (src=7 tgt=1)
[median - scaling_attack] Iteration 789. Test_acc 0.6136  Attack_succ_rate 0.0060 (src=7 tgt=1)
[median - scaling_attack] Iteration 799. Test_acc 0.6485  Attack_succ_rate 0.0130 (src=7 tgt=1)
[median - scaling_attack] Iteration 809. Test_acc 0.3849  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 819. Test_acc 0.5889  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 829. Test_acc 0.6998  Attack_succ_rate 0.0050 (src=7 tgt=1)
[median - scaling_attack] Iteration 839. Test_acc 0.7024  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 849. Test_acc 0.4654  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 859. Test_acc 0.6512  Attack_succ_rate 0.0050 (src=7 tgt=1)
[median - scaling_attack] Iteration 869. Test_acc 0.5642  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 879. Test_acc 0.7022  Attack_succ_rate 0.0210 (src=7 tgt=1)
[median - scaling_attack] Iteration 889. Test_acc 0.6755  Attack_succ_rate 0.0050 (src=7 tgt=1)
[median - scaling_attack] Iteration 899. Test_acc 0.6757  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 909. Test_acc 0.6487  Attack_succ_rate 0.0120 (src=7 tgt=1)
[median - scaling_attack] Iteration 919. Test_acc 0.6618  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 929. Test_acc 0.7136  Attack_succ_rate 0.0060 (src=7 tgt=1)
[median - scaling_attack] Iteration 939. Test_acc 0.5276  Attack_succ_rate 0.0280 (src=7 tgt=1)
[median - scaling_attack] Iteration 949. Test_acc 0.6367  Attack_succ_rate 0.0080 (src=7 tgt=1)
[median - scaling_attack] Iteration 959. Test_acc 0.5141  Attack_succ_rate 0.0390 (src=7 tgt=1)
[median - scaling_attack] Iteration 969. Test_acc 0.3636  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 979. Test_acc 0.7046  Attack_succ_rate 0.0040 (src=7 tgt=1)
[median - scaling_attack] Iteration 989. Test_acc 0.7120  Attack_succ_rate 0.0150 (src=7 tgt=1)
[median - scaling_attack] Iteration 999. Test_acc 0.2233  Attack_succ_rate 0.0090 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_001000.params
[median - scaling_attack] Iteration 1009. Test_acc 0.6492  Attack_succ_rate 0.0120 (src=7 tgt=1)
[median - scaling_attack] Iteration 1019. Test_acc 0.6803  Attack_succ_rate 0.0040 (src=7 tgt=1)
[median - scaling_attack] Iteration 1029. Test_acc 0.6422  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 1039. Test_acc 0.6642  Attack_succ_rate 0.0060 (src=7 tgt=1)
[median - scaling_attack] Iteration 1049. Test_acc 0.6031  Attack_succ_rate 0.0420 (src=7 tgt=1)
[median - scaling_attack] Iteration 1059. Test_acc 0.6883  Attack_succ_rate 0.0080 (src=7 tgt=1)
[median - scaling_attack] Iteration 1069. Test_acc 0.5826  Attack_succ_rate 0.0030 (src=7 tgt=1)
[median - scaling_attack] Iteration 1079. Test_acc 0.6594  Attack_succ_rate 0.0070 (src=7 tgt=1)
[median - scaling_attack] Iteration 1089. Test_acc 0.6756  Attack_succ_rate 0.0040 (src=7 tgt=1)
[median - scaling_attack] Iteration 1099. Test_acc 0.6539  Attack_succ_rate 0.0130 (src=7 tgt=1)
[median - scaling_attack] Iteration 1109. Test_acc 0.5722  Attack_succ_rate 0.0390 (src=7 tgt=1)
[median - scaling_attack] Iteration 1119. Test_acc 0.6033  Attack_succ_rate 0.0140 (src=7 tgt=1)
[median - scaling_attack] Iteration 1129. Test_acc 0.3421  Attack_succ_rate 0.7480 (src=7 tgt=1)
[median - scaling_attack] Iteration 1139. Test_acc 0.6667  Attack_succ_rate 0.0320 (src=7 tgt=1)
[median - scaling_attack] Iteration 1149. Test_acc 0.6329  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1159. Test_acc 0.6616  Attack_succ_rate 0.0180 (src=7 tgt=1)
[median - scaling_attack] Iteration 1169. Test_acc 0.6119  Attack_succ_rate 0.1440 (src=7 tgt=1)
[median - scaling_attack] Iteration 1179. Test_acc 0.5264  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 1189. Test_acc 0.6206  Attack_succ_rate 0.0370 (src=7 tgt=1)
[median - scaling_attack] Iteration 1199. Test_acc 0.6596  Attack_succ_rate 0.0080 (src=7 tgt=1)
[median - scaling_attack] Iteration 1209. Test_acc 0.6825  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 1219. Test_acc 0.6607  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1229. Test_acc 0.5593  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1239. Test_acc 0.4701  Attack_succ_rate 0.2160 (src=7 tgt=1)
[median - scaling_attack] Iteration 1249. Test_acc 0.5105  Attack_succ_rate 0.0010 (src=7 tgt=1)
Saved checkpoint: checkpoints/flat__pair__every_10pct_of_2500__scaling_attack__median__iter_001250.params
[median - scaling_attack] Iteration 1259. Test_acc 0.5392  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 1269. Test_acc 0.5892  Attack_succ_rate 0.2500 (src=7 tgt=1)
[median - scaling_attack] Iteration 1279. Test_acc 0.6492  Attack_succ_rate 0.0210 (src=7 tgt=1)
[median - scaling_attack] Iteration 1289. Test_acc 0.5600  Attack_succ_rate 0.0470 (src=7 tgt=1)
[median - scaling_attack] Iteration 1299. Test_acc 0.6522  Attack_succ_rate 0.0090 (src=7 tgt=1)
[median - scaling_attack] Iteration 1309. Test_acc 0.6857  Attack_succ_rate 0.0070 (src=7 tgt=1)
[median - scaling_attack] Iteration 1319. Test_acc 0.6422  Attack_succ_rate 0.0150 (src=7 tgt=1)
[median - scaling_attack] Iteration 1329. Test_acc 0.6955  Attack_succ_rate 0.0050 (src=7 tgt=1)
[median - scaling_attack] Iteration 1339. Test_acc 0.6597  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1349. Test_acc 0.3170  Attack_succ_rate 0.0150 (src=7 tgt=1)
[median - scaling_attack] Iteration 1359. Test_acc 0.5783  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 1369. Test_acc 0.6362  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1379. Test_acc 0.6372  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1389. Test_acc 0.6891  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1399. Test_acc 0.6352  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1409. Test_acc 0.6240  Attack_succ_rate 0.0160 (src=7 tgt=1)
[median - scaling_attack] Iteration 1419. Test_acc 0.6800  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 1429. Test_acc 0.6732  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1439. Test_acc 0.6006  Attack_succ_rate 0.0020 (src=7 tgt=1)
[median - scaling_attack] Iteration 1449. Test_acc 0.6643  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 1459. Test_acc 0.6300  Attack_succ_rate 0.0370 (src=7 tgt=1)
[median - scaling_attack] Iteration 1469. Test_acc 0.6769  Attack_succ_rate 0.0000 (src=7 tgt=1)
[median - scaling_attack] Iteration 1479. Test_acc 0.6645  Attack_succ_rate 0.0010 (src=7 tgt=1)
[median - scaling_attack] Iteration 1489. Test_acc 0.5960  Attack_succ_rate 0.0020 (src=7 tgt=1)
